USER_ID,COR_LAN,COR_LON,DATE,TIME,TWEET,Label
383358119,38.731,-77.43,8/11/2014,16:05:21,its like im nothing now forgotten ever sense oomf came and the incident ,0
607543503,38.473,-77.46,10/28/2014,22:10:02,brainnevasleeps mikebrowncover a were u thereeither u have had no experience with copsdont want realitybrown instigated incident ampdied,0
391594988,38.942,-77.45,5/18/2014,20:09:14,i always think that there will never be an incident on my plane like the movies because my planes are never that cool tworows oneaisle,0
414498694,39.048,-77.391,4/27/2014,16:37:51,haiderbhatti4 coincidentally the acronym of the catholic school i went to,0
1286090814,38.845,-77.444,12/18/2014,21:10:22,i am a witness and part of the first response team to the arnold lao incident its a shame he had to go so young rip laos fingertip,0
107855517,38.937,-77.362,8/11/2014,22:48:34,asukakojou coincidentally i think i have that right now,0
1852643628,38.515,-77.304,10/21/2014,13:58:59,informative rotary this morning and a successful workout 1st after the finger incident tons more to do today rotary exercise,0
25599839,38.906,-77.07,12/17/2014,8:03:42,cant really rank terror attacksloss but its hard to think of a more horrifically conceived incident than peshawar its just so sad,0
16075340,38.925,-77.1,5/17/2014,5:49:33,malevich2014 i can totally picture him as blind sage of sherierincidentally i assume that he will be blind by time we get him there,0
99144501,38.789,-77.187,12/10/2014,20:36:18,government job in springfield va network sec analyst  incident response at mantech  veteranjob jobs,0
1262885677,38.709,-77.23,6/18/2014,2:49:25,maggianos 7 cars parked smooth no issue no incident to r report,0
522692721,39.123,-77.545,6/2/2014,12:32:01,larryoconnor you think it was coincident administration gave the name of the afghanistan cia station chief 5 days ago timing is everything,0
390223259,38.811,-77.084,7/24/2014,3:15:21,lifeintheatl adambaldwin incidentally what ever happened to matthew modine,0
494664427,38.778,-77.104,12/4/2014,20:34:46,kimmielee still want to make it fun for lyss and lmao true same here it just happened lol our incidents happened 5 days apart lol,0
454767665,38.953,-77.448,6/13/2014,22:52:05,cateritardando lol i should really compile these incidents into a book,0
1262885677,38.708,-77.231,6/15/2014,4:38:36,updated maggianos 44 cars parked event complete no incident to report,0
238805492,39.189,-77.172,12/28/2014,17:26:23,another air incident involving malaysia this is really bad pr,0
430934448,38.91,-77.073,2/22/2014,17:45:42,mass casualty incident drill ,0
2851626845,38.812,-77.304,11/3/2014,21:18:46,the incident in the jc makes me think we need otter boxes for people,0
1145834329,39.037,-77.141,3/25/2014,21:38:35,the modern day rosa parks bus incident saying no to paying the bus fare,0
